,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial ,round,peak,simday,MapB_mix,llin_MapB
128,Ogbia,Ahoada West,2023,Ogbia,0.279080839,0.195282068,0.099086898,0.168082691,0.381331283,0.44449378,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
129,Sagbama,Ahoada West,2020,Sagbama,0.231956133,0.226313895,0.173679613,0.205364027,0.219154854,0.312771086,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
130,Sagbama,Ahoada West,2023,Sagbama,0.231956133,0.226313895,0.173679613,0.205364027,0.219154854,0.312771086,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
131,Yenegoa,Isoko South,2020,Yenegoa,0.266772758,0.256305154,0.222104023,0.244577309,0.260617689,0.34556186,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
132,Yenegoa,Isoko South,2023,Yenegoa,0.266772758,0.256305154,0.222104023,0.244577309,0.260617689,0.34556186,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
133,Ado,Akinyele,2020,Ado,0.394663802,0.22521866,0.201283786,0.280297908,0.357778894,0.425122422,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn 
134,Ado,Akinyele,2023,Ado,0.394663802,0.22521866,0.201283786,0.280297908,0.357778894,0.425122422,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn 
135,Agatu,Keana,2020,Agatu,0.75,0.833333333,0.655172414,0.705882353,0.440507142,0.492360644,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
136,Agatu,Keana,2023,Agatu,0.75,0.833333333,0.655172414,0.705882353,0.440507142,0.492360644,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
137,Apa,Keana,2020,Apa,0.842105263,0.352941176,0.416666667,0.467741935,0.437711079,0.490137805,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
138,Apa,Keana,2023,Apa,0.842105263,0.352941176,0.416666667,0.467741935,0.437711079,0.490137805,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
139,Buruku,Keana,2020,Buruku,0.678571429,0.527777778,0.546875,0.523584906,0.37690999,0.440865552,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
140,Buruku,Keana,2023,Buruku,0.678571429,0.527777778,0.546875,0.523584906,0.37690999,0.440865552,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
141,Gboko,Keana,2020,Gboko,0.764633412,0.645455044,0.438547558,0.565466494,0.325574075,0.398561371,0.53,1,august,223,CM+IPTp+LLINs+SMC,itn 
142,Gboko,Keana,2023,Gboko,0.764633412,0.645455044,0.438547558,0.565466494,0.325574075,0.398561371,0.53,2,august,1318,CM+IPTp+LLINs+SMC,itn 
