LGA,mapB_mix,repDS,peak,simday,year,coverage,initial_killing,box_duration,decay_time_constant
Karaye,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Karin-Lamido,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Karu,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Katagum,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Katcha,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Kaura,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Kaura-Namoda,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Kauru,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Keana,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Kebbe,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
Keffi,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Kibiya,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Kirfi,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
kiyawa,CM+IPTp+IRS+SMC,Takali,september,978,2022,0.6,0.7,180,90
Kogi,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Kokona,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Kontagora,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Kubau,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Kudan,CM+IPTp+IRS+SMC,Giwa,august,950,2022,0.6,0.7,180,90
Kuje,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Kunchi,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Kurfi,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Kurmi,CM+IPTp+IRS+IPTi,Oru West,june,887,2022,0.6,0.7,180,90
Kusada,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Kwami,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Lafia,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Lagelu,CM+IPTp+IRS+IPTi,Akinyele,may,852,2022,0.6,0.7,180,90
Lagos Mainland,CM+IPTp+IRS+IPTi,Isoko South,june,887,2022,0.6,0.7,180,90
Lamurde,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Langtang South,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Lapai,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Lau,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Lavun,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Lere,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Madobi,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Magama,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Mai'Adua,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Maigatari,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Maiha,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Maiyama,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
