LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.204236897,0.30126919,0.53,1,june,527
Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.505263158,0.36923077,0.25,0.385714285,0.204236897,0.30126919,0.53,2,june,1622
Ayamelum,Uzo-Uwani,2020,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.436497382,0.489171465,0.53,1,june,162
Ayamelum,Uzo-Uwani,2023,Ayamelum,0.271200001,0.108235295,0.067379682,0.178492462,0.436497382,0.489171465,0.53,2,june,1257
Uyo,Nsit Ubium,2021,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.399966547,0.459725229,0.53,1,june,527
Uyo,Nsit Ubium,2024,Uyo,0.227865551,0.092983637,0.130824641,0.147802518,0.399966547,0.459725229,0.53,2,june,1622
Aguata,Oru West,2020,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.454034567,0.503044714,0.53,1,june,162
Aguata,Oru West,2023,Aguata,0.307020565,0.464441369,0.287571353,0.285199427,0.454034567,0.503044714,0.53,2,june,1257
Anambra East,Uzo-Uwani,2020,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.375672105,0.439848897,0.53,1,june,162
Anambra East,Uzo-Uwani,2023,Anambra East,0.128571428,0.268927518,0.12,0.042105263,0.375672105,0.439848897,0.53,2,june,1257
Anambra West,Uzo-Uwani,2020,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.39176502,0.453035277,0.53,1,june,162
Anambra West,Uzo-Uwani,2023,Anambra West,0.389576772,0.444225973,0.318720223,0.33407719,0.39176502,0.453035277,0.53,2,june,1257
Anaocha,Oru West,2020,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.420247823,0.476153753,0.53,1,june,162
Anaocha,Oru West,2023,Anaocha,0.21732035,0.1486294,0.183318119,0.126019202,0.420247823,0.476153753,0.53,2,june,1257
Dunukofia,Uzo-Uwani,2020,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.421451191,0.477122595,0.53,1,june,162
Dunukofia,Uzo-Uwani,2023,Dunukofia,0.331783877,0.268927518,0.192060578,0.226610623,0.421451191,0.477122595,0.53,2,june,1257
Ekwusigo,Oru West,2020,Ekwusigo,0.44,0.1,0.05,0.244067797,0.255572543,0.341515837,0.53,1,june,162
Ekwusigo,Oru West,2023,Ekwusigo,0.44,0.1,0.05,0.244067797,0.255572543,0.341515837,0.53,2,june,1257
Idemili North,Uzo-Uwani,2020,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.422797782,0.478205882,0.53,1,june,162
Idemili North,Uzo-Uwani,2023,Idemili North,0.351770567,0.26280508,0.1310178,0.233040127,0.422797782,0.478205882,0.53,2,june,1257
Idemili South,Oru West,2020,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.377378695,0.441250403,0.53,1,june,162
Idemili South,Oru West,2023,Idemili South,0.221205598,0.140623322,0.109807903,0.195956749,0.377378695,0.441250403,0.53,2,june,1257
Ihiala,Oru West,2020,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.199598953,0.297729955,0.53,1,june,162
Ihiala,Oru West,2023,Ihiala,0.24112149,0.276675605,0.22524698,0.367873302,0.199598953,0.297729955,0.53,2,june,1257
Njikoka,Uzo-Uwani,2020,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.436915256,0.489504274,0.53,1,june,162
Njikoka,Uzo-Uwani,2023,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.436915256,0.489504274,0.53,2,june,1257
Nnewi North,Oru West,2020,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,0.308642745,0.38462961,0.53,1,june,162
Nnewi North,Oru West,2023,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,0.308642745,0.38462961,0.53,2,june,1257
Nnewi South,Oru West,2020,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.303374646,0.380306319,0.53,1,june,162
Nnewi South,Oru West,2023,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.303374646,0.380306319,0.53,2,june,1257
Ogbaru,Ahoada West,2020,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.230996863,0.322021221,0.53,1,may,131
Ogbaru,Ahoada West,2023,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.230996863,0.322021221,0.53,2,may,1226
Onitsha North,Uzo-Uwani,2020,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.382531956,0.445478249,0.53,1,june,162
