LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Epe,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Esan Central,Owan East,,0.278942779,0.278942779,0,-1,2018
Esan North East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Esan South East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Esan West,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ese-Odo,Owan East,,0.278942779,0.278942779,0,-1,2018
Esit Eket,Nsit Ubium,,0.071428571,0.071428571,0,-1,2018
Essien Udim,Ngor-Okpala,,0.219281699,0.219281699,0,-1,2018
Etche,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Ethiope East,Isoko South,,0.12159624,0.12159624,0,-1,2018
Ethiope West,Isoko South,,0.12159624,0.12159624,0,-1,2018
Etim Ekpo,Isoko South,,0.12159624,0.12159624,0,-1,2018
Etinan,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Eti-Osa,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
Etsako Central,Owan East,,0.278942779,0.278942779,0,-1,2018
Etsako East,Owan East,,0.077954241,0.077954241,0,-1,2018
Etsako West,Owan East,,0.080351586,0.080351586,0,-1,2018
Etung,Obubra,,0.2,0.2,0,-1,2018
Ewekoro,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ezeagu,Uzo-Uwani,,0.434581511,0.434581511,0,-1,2018
Ezinihitte,Ngor-Okpala,,0.388958352,0.388958352,0,-1,2018
Ezza North,Owan East,,0.19047619,0.19047619,0,-1,2018
Ezza South,Obubra,,0.478845956,0.478845956,0,-1,2018
Fagge,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Fakai,Birnin Kebbi,,0.666666667,0.666666667,0,-1,2018
Faskari,Giwa,,0.130508332,0.130508332,0,-1,2018
Fika,Darazo,,0.095238095,0.095238095,0,-1,2018
Fufore,Alkaleri,,0.139280114,0.139280114,0,-1,2018
Funakaye,Alkaleri,,0.045454545,0.045454545,0,-1,2018
Fune,Darazo,,0.03153893,0.03153893,0,-1,2018
Funtua,Gwarzo,,0.172172547,0.172172547,0,-1,2018
Gabasawa,Taura,,0.174928041,0.174928041,0,-1,2018
Gada,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Gagarawa,Taura,,0.174928041,0.174928041,0,-1,2018
Gamawa,Gwarzo,,0.172172547,0.172172547,0,-1,2018
Ganaye,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Ganjuwa,Darazo,,0.101826237,0.101826237,0,-1,2018
Garki,Babura,,0.666666667,0.666666667,0,-1,2018
Garko,Gwarzo,,0.172172547,0.172172547,0,-1,2018
Garum Mallam,Gwarzo,,0.153846154,0.153846154,0,-1,2018
Gashaka,Oru West,,0.411077428,0.411077428,0,-1,2018
Gassol,Keana,,0.086136445,0.086136445,0,-1,2018
Gawabawa,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Gaya,Gwarzo,,0.166666667,0.166666667,0,-1,2018
Gbako,Oke-Ero,,0.461538462,0.461538462,0,-1,2018
Gboko,Keana,,0.140281332,0.140281332,0,-1,2018
Gboyin,Obubra,,0.438502596,0.438502596,0,-1,2018
Geidam,Babura,,0.349277359,0.349277359,0,-1,2018
Gezawa,Gwarzo,,0.25,0.25,0,-1,2018
Giade,Darazo,,0.142857143,0.142857143,0,-1,2018
Gireri,Darazo,,0.080992121,0.080992121,0,-1,2018
Giwa,Giwa,,0.130508332,0.130508332,0,-1,2018
Gokana,Nsit Ubium,,0.182111551,0.182111551,0,-1,2018
Gombe,Alkaleri,,0.116169555,0.116169555,0,-1,2018
Gombi,Alkaleri,,0.208835269,0.208835269,0,-1,2018
Goronyo,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Gubio,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Gudu,Gawabawa,,0.106631444,0.106631444,0,-1,2018
Gujba,Darazo,,0.114371076,0.114371076,0,-1,2018
Gulani,Alkaleri,,0.234127553,0.234127553,0,-1,2018
Guma,Keana,,0.315463952,0.315463952,0,-1,2018
Gumel,Babura,,0.25,0.25,0,-1,2018
Gummi,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
Gurara,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Guri,Taura,,0.174928041,0.174928041,0,-1,2018
Gusau,Darazo,,0.114371076,0.114371076,0,-1,2018
