,DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
82,Dass,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
83,Gamawa,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571
84,Jama'are,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369,0.879047369
85,Ganjuwa,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791,0.376021791
86,Giade,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333,0.583333333
87,Itas-Gadau,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
88,Katagum,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828,0.566783828
89,Kirfi,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087,0.47826087
90,Misau,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459,0.660517459
91,Ningi,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323,0.417164323
92,Ukum,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952,0.587517952
93,Shira,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088,0.694989088
94,Tafawa-Balewa,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993,0.567162993
95,Toro,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259,0.505529259
96,Warji,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
97,Zaki,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757,0.692954757
98,Kolokuma-Opokuma,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
99,Nembe,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
100,Ogbia,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
101,Sagbama,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705,0.435916705
102,Yenegoa,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802,0.574451802
103,Ado,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
104,Agatu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
105,Apa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
106,Buruku,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975,0.519999975
107,Gboko,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415,0.62660415
108,Guma,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468,0.402123468
109,Gwer East,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561,0.252328561
110,Gwer West,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875
111,Katsina-Ala,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248,0.617159248
112,Konshisha,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
113,Logo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
114,Makurdi,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427,0.666949427
115,Obi1,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
116,Ogbadibo,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
117,Ohimini,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
118,Oju,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375,0.900563375
119,Okpokwu,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222,0.722222222
120,Oturkpo,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002,0.651422002
121,Tarka,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
122,Ushongo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
123,Vandeikya,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358,0.763853358
124,Askira-Uba,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576,0.741947576
125,Enugu East,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173,0.764234173
126,Bayo,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
127,Biu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
128,Chibok,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
129,Damboa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
130,Biase,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
131,Dikwa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
132,Gubio,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
133,Jere,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626,0.514339626
134,Guzamala,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
135,Hawul,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
136,Kwaya Kusar,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
137,Enugu North,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
138,Kaga,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
139,Mafa,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
140,Obudu,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
141,Konduga,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556
142,Bomadi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
143,Magumeri,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
144,Maiduguri,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705,0.7334705
145,Shani,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
146,Abi,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
147,Marte,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
148,Nganzai,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
149,Bekwara,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
150,Calabar-Municipal,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391,0.848551391
151,Ikom,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
152,Obubra,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
153,Enugu South,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
154,Odukpani,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413,0.634663413
155,Ogoja,1,1,1,1,1,1,1,1,1,1,1
