DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aniocha North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Aniocha South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ibadan South West,0.668489994,0.71361202,0.758734046,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ethiope East,0.580326207,0.625448233,0.670570259,0.715692286,0.760814312,0.8,0.8,0.8,0.8,0.8,0.8
Ethiope West,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ika North East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ika South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isoko North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ogbomosho South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isoko South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ndokwa East,0.533333333,0.578455359,0.623577386,0.668699412,0.713821438,0.758943464,0.8,0.8,0.8,0.8,0.8
Ndokwa West,0.777777778,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Okpe,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oshimili North,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oshimili South,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Patani,0.324471418,0.369593444,0.41471547,0.459837496,0.504959522,0.550081548,0.595203574,0.640325601,0.685447627,0.730569653,0.775691679
Sapele,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Udu,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ughelli North,0.659937208,0.705059235,0.750181261,0.795303287,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ughelli South,0.646779199,0.691901225,0.737023251,0.782145278,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukwuani,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uvwie,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Warri South,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717,0.838001717
Ohaozara,0.750526319,0.795648345,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Abakaliki,0.43740651,0.482528536,0.527650562,0.572772588,0.617894614,0.663016641,0.708138667,0.753260693,0.798382719,0.8,0.8
Afikpo North,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186,0.864471186
Afikpo South,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597,0.811166597
Ebonyi,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
