State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Jigawa,Kafin Hausa,Taura,july,2028,1,-1,1,0.6,5,3106,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2029,2,-1,1,0.6,5,3501,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2029,3,-1,1,0.6,5,3531,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2029,4,-1,1,0.6,5,3561,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2029,1,-1,1,0.6,5,3471,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2030,2,-1,1,0.6,5,3866,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2030,3,-1,1,0.6,5,3896,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2030,4,-1,1,0.6,5,3926,scenario 2 - 5
Jigawa,Kafin Hausa,Taura,july,2030,1,-1,1,0.6,5,3836,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2020,1,-1,1,0.6,5,223,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2020,2,-1,1,0.6,5,253,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2020,3,-1,1,0.6,5,283,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2020,4,-1,1,0.6,5,313,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2021,1,-1,1,0.6,5,588,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2021,2,-1,1,0.6,5,618,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2021,3,-1,1,0.6,5,648,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2021,4,-1,1,0.6,5,678,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2022,1,-1,1,0.6,5,953,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2022,2,-1,1,0.6,5,983,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2022,3,-1,1,0.6,5,1013,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2022,4,-1,1,0.6,5,1043,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2023,1,-1,1,0.6,5,1318,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2023,2,-1,1,0.6,5,1348,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2023,3,-1,1,0.6,5,1378,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2023,4,-1,1,0.6,5,1408,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2024,1,-1,1,0.6,5,1683,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2024,2,-1,1,0.6,5,1713,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2024,3,-1,1,0.6,5,1743,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2024,4,-1,1,0.6,5,1773,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2025,1,-1,1,0.6,5,2048,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2025,2,-1,1,0.6,5,2078,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2025,3,-1,1,0.6,5,2108,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2025,4,-1,1,0.6,5,2138,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2026,1,-1,1,0.6,5,2413,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2026,2,-1,1,0.6,5,2443,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2026,3,-1,1,0.6,5,2473,scenario 2 - 5
Katsina,Kafur,Gwarzo,august,2026,4,-1,1,0.6,5,2503,scenario 2 - 5
