"","seasonality","month","cases","sum_est","sum_l_ci","sum_u_ci","X","repDS_pop","incidence","incidence_low","incidence_high","population"
"119","Isoko South",11,8004,8004,6073.36204134235,11121.6624581889,10,4792719,200.1,151.834051033559,278.041561454722,1000
"120","Isoko South",12,6886.6,6886.6,5081.4202559664,10049.3331535432,10,4792719,172.165,127.03550639916,251.233328838579,1000
"121","Keana",1,4396,4396,2092.20847792462,12724.0310962692,11,11435694,109.9,52.3052119481154,318.100777406729,1000
"122","Keana",2,3991.2,3991.2,2132.07268100786,9790.60995399623,11,11435694,99.78,53.3018170251964,244.765248849906,1000
"123","Keana",3,4501.6,4501.6,2342.19420605334,11142.0697781914,11,11435694,112.54,58.5548551513335,278.551744454786,1000
"124","Keana",4,4200,4200,2096.39171105755,10457.4543673156,11,11435694,105,52.4097927764387,261.43635918289,1000
"125","Keana",5,4433.2,4433.2,2175.4,11591.4829200798,11,11435694,110.83,54.385,289.787073001995,1000
"126","Keana",6,4379,4379,2224.12548231588,11633.8445527283,11,11435694,109.475,55.603137057897,290.846113818207,1000
"127","Keana",7,4553,4553,2237.04214680499,13180.5739443246,11,11435694,113.825,55.9260536701249,329.514348608114,1000
"128","Keana",8,4595.2,4595.2,2224.18289803896,13860.6533505492,11,11435694,114.88,55.6045724509741,346.516333763731,1000
"129","Keana",9,5255.2,5255.2,2602.78315824907,14085.3265392286,11,11435694,131.38,65.0695789562267,352.133163480716,1000
"130","Keana",10,5302.2,5302.2,2670.83587277338,13397.1489098345,11,11435694,132.555,66.7708968193345,334.928722745863,1000
"131","Keana",11,5139.6,5139.6,2456.72387737658,14200.9557252024,11,11435694,128.49,61.4180969344146,355.023893130061,1000
"132","Keana",12,4002,4002,2157.45398972603,9143.01513330541,11,11435694,100.05,53.9363497431508,228.575378332635,1000
"133","Ngor-Okpala",1,1416,1416,951.145685898946,2201.45891123341,12,6377018,35.4,23.7786421474737,55.0364727808351,1000
"134","Ngor-Okpala",2,1650.6,1650.6,1023.90156455408,2943.1600977718,12,6377018,41.265,25.597539113852,73.579002444295,1000
"135","Ngor-Okpala",3,1683,1683,1039.25562002427,3138.26895784815,12,6377018,42.075,25.9813905006067,78.4567239462037,1000
"136","Ngor-Okpala",4,1540.6,1540.6,1056.8,2349.37303548236,12,6377018,38.515,26.42,58.7343258870591,1000
"137","Ngor-Okpala",5,1655,1655,1089.42767470391,2521.20000427062,12,6377018,41.375,27.2356918675978,63.0300001067655,1000
"138","Ngor-Okpala",6,2097.4,2097.4,1352,3833.12094758106,12,6377018,52.435,33.8,95.8280236895265,1000
"139","Ngor-Okpala",7,1966.2,1966.2,1203.64532243974,4288.0774302045,12,6377018,49.155,30.0911330609936,107.201935755112,1000
"140","Ngor-Okpala",8,1905.2,1905.2,1159.4,3987.47057945528,12,6377018,47.63,28.985,99.686764486382,1000
"141","Ngor-Okpala",9,1514.4,1514.4,1028.9077048922,2386.76940067801,12,6377018,37.86,25.722692622305,59.6692350169502,1000
"142","Ngor-Okpala",10,1650.8,1650.8,1095.32021105492,2753.62103224764,12,6377018,41.27,27.3830052763729,68.8405258061909,1000
"143","Ngor-Okpala",11,1656.2,1656.2,1102.60831242766,2604.39297595979,12,6377018,41.405,27.5652078106914,65.1098243989948,1000
"144","Ngor-Okpala",12,1093.6,1093.6,737.423524490763,1768.52447585381,12,6377018,27.34,18.4355881122691,44.2131118963453,1000
"145","Nsit Ubium",1,1691,1691,1134.8,3356.70569924934,13,3722101,42.275,28.37,83.9176424812335,1000
"146","Nsit Ubium",2,2125.8,2125.8,1276.74687921826,4867.91932329172,13,3722101,53.145,31.9186719804564,121.697983082293,1000
"147","Nsit Ubium",3,2184.4,2184.4,1287.27346727203,4898.75938958604,13,3722101,54.61,32.1818366818006,122.468984739651,1000
"148","Nsit Ubium",4,2194.8,2194.8,1393.6,4412.32921089463,13,3722101,54.87,34.84,110.308230272366,1000
"149","Nsit Ubium",5,2161,2161,1483.6,4056.44472390042,13,3722101,54.025,37.09,101.41111809751,1000
"150","Nsit Ubium",6,2511.8,2511.8,1609.6683929332,5033.38025316677,13,3722101,62.795,40.2417098233299,125.834506329169,1000
"151","Nsit Ubium",7,2134.6,2134.6,1385.90181961286,4459.37058693325,13,3722101,53.365,34.6475454903216,111.484264673331,1000
"152","Nsit Ubium",8,2012.8,2012.8,1377.96067448715,3829.42931609242,13,3722101,50.32,34.4490168621787,95.7357329023105,1000
"153","Nsit Ubium",9,2072.8,2072.8,1418.10925340729,3946.45533468907,13,3722101,51.82,35.4527313351821,98.6613833672267,1000
"154","Nsit Ubium",10,2142.6,2142.6,1442.2,4241.18925467259,13,3722101,53.565,36.055,106.029731366815,1000
"155","Nsit Ubium",11,1757,1757,1224.64266196518,3270.46350629606,13,3722101,43.925,30.6160665491295,81.7615876574014,1000
"156","Nsit Ubium",12,1418.8,1418.8,931.6,2931.64016159968,13,3722101,35.47,23.29,73.291004039992,1000
"157","Obubra",1,385.2,385.2,181.71981990624,631.8,14,1574258,9.63,4.542995497656,15.795,1000
"158","Obubra",2,416.2,416.2,217,670.95802156701,14,1574258,10.405,5.425,16.7739505391753,1000
"159","Obubra",3,375,375,205.160783953665,534.8,14,1574258,9.375,5.12901959884161,13.37,1000
"160","Obubra",4,485,485,266.191672291427,799.190932904531,14,1574258,12.125,6.65479180728567,19.9797733226133,1000
"161","Obubra",5,472.4,472.4,264.754913818163,735.257635663864,14,1574258,11.81,6.61887284545407,18.3814408915966,1000
"162","Obubra",6,561.2,561.2,335,819.8,14,1574258,14.03,8.375,20.495,1000
"163","Obubra",7,450,450,298.329325388612,642.2,14,1574258,11.25,7.45823313471529,16.055,1000
"164","Obubra",8,468,468,267,677.6,14,1574258,11.7,6.675,16.94,1000
"165","Obubra",9,416.6,416.6,262.2,601.919771881746,14,1574258,10.415,6.555,15.0479942970436,1000
"166","Obubra",10,394.2,394.2,232.4,573.2,14,1574258,9.855,5.81,14.33,1000
"167","Obubra",11,403.8,403.8,249.855883559955,593.797482195797,14,1574258,10.095,6.24639708899887,14.8449370548949,1000
"168","Obubra",12,247,247,145.8,386.252755558443,14,1574258,6.175,3.645,9.65631888896108,1000
"169","Oke-Ero",1,8156.6,8156.6,6462.2,10437.4293460395,15,13035627,203.915,161.555,260.935733650987,1000
"170","Oke-Ero",2,8788,8788,6880.94800503557,11514.57404516,15,13035627,219.7,172.023700125889,287.864351129001,1000
"171","Oke-Ero",3,8627.8,8627.8,6770.4,11713.9758994431,15,13035627,215.695,169.26,292.849397486077,1000
"172","Oke-Ero",4,8682.6,8682.6,6793.84837184979,11412.3819082341,15,13035627,217.065,169.846209296245,285.309547705851,1000
"173","Oke-Ero",5,8428,8428,6868.8,10509.9074978054,15,13035627,210.7,171.72,262.747687445135,1000
"174","Oke-Ero",6,9582.2,9582.2,7704.29794272106,12530.4172985667,15,13035627,239.555,192.607448568027,313.260432464168,1000
"175","Oke-Ero",7,10219,10219,8212.10111516855,13111.5538444876,15,13035627,255.475,205.302527879214,327.788846112189,1000
"176","Oke-Ero",8,10175.2,10175.2,8228.41414639162,12939.6497241896,15,13035627,254.38,205.710353659791,323.491243104741,1000
"177","Oke-Ero",9,10661.6,10661.6,8490.50629748597,13523.0564970682,15,13035627,266.54,212.262657437149,338.076412426706,1000
"178","Oke-Ero",10,11885.8,11885.8,9299.94767955809,15504.9853000335,15,13035627,297.145,232.498691988952,387.624632500837,1000
"179","Oke-Ero",11,10822.6,10822.6,8663.9498998742,13626.0502237877,15,13035627,270.565,216.598747496855,340.651255594693,1000
"180","Oke-Ero",12,7777.8,7777.8,6107.8996727336,10309.5769863043,15,13035627,194.445,152.69749181834,257.739424657609,1000
"181","Oru West",1,1032.6,1032.6,566.6,2374.81592162049,16,4983848,25.815,14.165,59.3703980405124,1000
"182","Oru West",2,1373.6,1373.6,666.371147222409,3904.46939014725,16,4983848,34.34,16.6592786805602,97.6117347536813,1000
"183","Oru West",3,1109.2,1109.2,576.655829356932,2556.97919520667,16,4983848,27.73,14.4163957339233,63.9244798801666,1000
"184","Oru West",4,1239.8,1239.8,576.507035418045,3376.08361445448,16,4983848,30.995,14.4126758854511,84.402090361362,1000
"185","Oru West",5,1015.6,1015.6,572,1812.48147676083,16,4983848,25.39,14.3,45.3120369190207,1000
"186","Oru West",6,1180.2,1180.2,702.2,2123.59341804771,16,4983848,29.505,17.555,53.0898354511928,1000
"187","Oru West",7,1032.6,1032.6,580,1829.20946080922,16,4983848,25.815,14.5,45.7302365202305,1000
"188","Oru West",8,1011.2,1011.2,618,1743.4343598896,16,4983848,25.28,15.45,43.58585899724,1000
"189","Oru West",9,990.2,990.2,579.600731900568,1871.32364132607,16,4983848,24.755,14.4900182975142,46.7830910331518,1000
